web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583621146-4665","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@fahadjawad1","فهد بن محمد العمران","كيف لا يقلق المعلم والمعلمة وعلاوته السنوية على المحك... بعد #اللائحة_التعليمية_الجديدة؟ 
كلام متناقض من #وزير_التعليم؟!! 
#العلاوه_السنويه163","","45","28","1575787351000","10:42 PM - 7 Dec 2019","/fahadjawad1/status/1203565503404527618"
"1583621146-4821","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","د. البديوي يستقبل وفد دولة الإمارات العربية المتحدة
https://www.moe.gov.sa/ar/news/Pages/d-1441-816.aspx …pic.twitter.com/ygUX8m6Ppy","42","304","232","1574887773000","12:49 PM - 27 Nov 2019","/moe_gov_sa/status/1199792398563446790"
"1583621146-4840","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@mawhiba","موهبة","بعد تدريب على مئات المسائل البرمجية يختتم تدريب #موهبة لطلاب @moe_gov_sa مع @KAUST_News استعداداً لمسابقات #الأولمبياد_الدولي_للمعلوماتية ٢٠٢١ بإختبار على مدار يومين بواقع ١٠ مسائل برمجية كل يوم لترشيح أفضل ٢٠ من ٧٤ طالب وطالبة للمراحل المتقدمة من التدريب على المعلوماتية-بالتوفيقpic.twitter.com/Uy4ZOKKEid","3","25","60","1574780883000","7:08 AM - 26 Nov 2019","/mawhiba/status/1199344069593296896"
"1583621146-4525","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@namasedu","إدارة تعليم النماص","سعادةمديرالتعليم يشكر قادةمدارس الطلاب المتميزين على مستوى المملكة في برامج النشاط الطلابي العلمي والمعلمين المشرفين على الطلاب وأولياء أمورهم ويشيد بجهودهم وعطائهم وحرصهم بحضورسعادةالمساعد للشؤون التعليمية.
@namasedu
@minister_moe_sa
@spokesp_moe
@moe_gov_sa
@Media_M_Epic.twitter.com/7wIzVVfphq","1","7","7","1576534565000","2:16 PM - 16 Dec 2019","/namasedu/status/1206699546077777921"
"1583621146-5203","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@fahed7_1991","فهد","خارج دوام المسؤولين بوزارة التعليم ٢٠ألف شهري
غير البدلات الاخرى والراتب ٢٥ألف
ويمتحنون المعلم بعلاوته٥٠٠ريال 

كيف تريدون النهوض بمستوى التعليم؟

 @minister_moe_sa 
@moe_gov_sa 
 #العلاوه_السنويه129pic.twitter.com/CDn6LoouRv","10","191","112","1572867287000","3:34 AM - 4 Nov 2019","/fahed7_1991/status/1191317863962951685"
"1583621146-5014","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزير_التعليم يلتقي بالمندوب الدائم لإيطاليا لدى #اليونسكو
https://www.moe.gov.sa/ar/news/Pages/it-144-hg.aspx …pic.twitter.com/qxDuESADAX","15","231","168","1573753426000","9:43 AM - 14 Nov 2019","/moe_gov_sa/status/1195034603121188865"
"1583621146-4974","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@OKAZ_online","صحيفة عكاظ","تعليم #شرورة: سنكشف ملابسات قتل طالب «أبي هريرة» تلفزيونياً

#عكاظ 
@moe_gov_sa 
 http://bit.ly/35bFJ0w","17","28","29","1574018800000","11:26 AM - 17 Nov 2019","/OKAZ_online/status/1196147661939847174"
"1583621146-4329","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@guriatedu_gov","إدارة تعليم القريات","حرم سمو أمير منطقة الجوف صاحبة السمو الأميرة مضاوي بنت سعود بن عبدالله آل سعود تزور مدارس بيت القيم الأهلية #تعليم_القريات
@moe_gov_sa @Media_M_E @minister_moe_sa
https://edu.moe.gov.sa/Quriat/MediaCenter/News/Pages/q1249.aspx …pic.twitter.com/RG56KZ6osD","4","23","32","1577368931000","6:02 AM - 26 Dec 2019","/guriatedu_gov/status/1210199128560549893"
"1583621146-4383","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@RawootTiktik","tiktik_ra-woot","KSA rules yeah.. twitter rules nope","","","","1577074390000","","/RawootTiktik/status/1208963735684935680"
"1583621146-4988","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@e3lam_alula","إدارة تعليم العلا","ودَّع رئيس النشاط الطلابي أ.صالح منصوري ومشرفا النشاط أ.سلطان القنيدي وأ.محمد النجدي في المطار وفد تعليم العلا المشارك في المسرح المدرسي بقيادة أ.محمد المورعي وأ.ماجد بن حسين وأ. ياسر الناجم، والمقام في محافظة القريات 20-1441/3/24هـ
سائلين الله لهم التوفيق والسداد
@moe_gov_sa pic.twitter.com/IxrFYseau2","4","29","21","1573925856000","9:37 AM - 16 Nov 2019","/e3lam_alula/status/1195757825865244678"
