web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583618751-1706","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@Naelah11","Dr. Naela Almgwishi د. نائلة عبدالعزيز المقوشي","“Using higher education as an engine for growth” @alain_beretz @minister_moe_sa @moe_gov_sa pic.twitter.com/kmBcKR3VuQ","","","1","1554881754000","12:35 AM - 10 Apr 2019","/Naelah11/status/1115881072569540608"
"1583618751-1693","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@e3lam_trbwe","الإعلام والاتصال_القريات","#تعليم_القريات
الراضي مديرة وحدة تقويم الأداء والمتابعة بالوزارة في زيارة لتعليم القريات
https://edu.moe.gov.sa/Quriat/MediaCenter/News/Pages/q940.aspx …
@moe_gov_sa 
@guriatedu_gov 
@DR_M_Althobaitpic.twitter.com/uGAIZk0L3P","","14","12","1554931409000","2:23 PM - 10 Apr 2019","/e3lam_trbwe/status/1116089340818595843"
"1583618751-1964","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@namasedu","إدارة تعليم النماص","#بدء_الدوام_الصيفي
#بمدارس_تعليم_النماص
الأحدالقادم ٧/١٠ 
بحيث يكون الاصطفاف الصباحي 
في تمام الساعةالسادسةوخمس وأربعون دقيقةصباحا.
والحصةالأولى في تمام الساعة السابعة صباحا.
سائلين الله للجميع التوفيق والسداد.
@namasedu 
@moe_gov_sa 
@Media_M_E","21","17","12","1552542672000","10:51 PM - 13 Mar 2019","/namasedu/status/1106070251635204097"
"1583618751-2114","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@Suaaadd76gmail1","Suaaadd_","اليوم الجمعه الساعه٨ م
#تنفيذ_توصيه_كليات_التربيه٦٢٢
⠀
@KingSalman
@Badermasaker
@minister_moe_sa 
@mualosaimi
@sattam_al_saud  
@RoyalCourtSA 
@moe_gov_sa 
@Turki_alalshikh 
ولكل من دعمنا اصدق الدعوات","2","23","13","1551415212000","","/Suaaadd76gmail1/status/1101341342205206528"
"1583618751-1770","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@janepi0079","Jane Pierce","Ministry of Education and the remnants of the team Issa clad in liberal Brotherhood","","","","1554310421000","9:53 AM - 3 Apr 2019","/janepi0079/status/1113484728911503361"
"1583618751-1643","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@makkah_tajhizat","إدارة التجهيزات المدرسية بمكة المكرمة","#يحدث_الآن
تجهيز ٥ قاعات تقنية تفاعلية
بثانوية معاذ بن جبل
بمتابعة د. أحمد العبادي
رئيس قسم تقنيات التعليم
بإدارة التجهيزات المدرسية
ب #تعليم_مكة 
@minister_moe_sa 
@moe_gov_sa
 @makkah_edu
 @wassatmakkah
@eastoffice1
 @south_makkah
@northmakkah1
@West_makkahpic.twitter.com/ZdGDudGahW","1","6","8","1555402895000","1:21 AM - 16 Apr 2019","/makkah_tajhizat/status/1118066894634979328"
"1583618751-1713","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@alharas_office","مكتب تعليم الحرس","ماشاء الله تبارك الله 
همتنا مثل جبال طويق 

معاًللمجد والعليا بإذن الله خلف قيادة راشدة حكيمة طموحة وأجيالٍ واعدةٍ واعية

#مكتب_تعليم_الحرس
#الملف__الإعلامي_بوزارة_التعليم","12","25","14","1554816014000","6:20 AM - 9 Apr 2019","/alharas_office/status/1115605337845821441"
"1583618751-1636","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
وكالة #وزارة_التعليم للشؤون المدرسية تنظم فعالية توعوية بمناسبة #اليوم_العالمي_للربو.pic.twitter.com/8jbnmVdS7n","13","140","126","1555429225000","8:40 AM - 16 Apr 2019","/moe_gov_sa/status/1118177330696998912"
"1583618751-1876","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@hamed_malk","حامد المالكي","شرفت صباح الخميس14-7-1440هـ بتقديم نسخة من تنظيم تعلم مفاهيم العلوم لمعالي #وزير_التعليم الدكتور/حمد بن محمد آل الشيخ @minister_moe_sa شكراً معالي الوزير على ما وجدته من دعم ورعاية وتوجيه . @moe_gov_sa pic.twitter.com/XV0Aa8rMHo","35","88","125","1553203305000","2:21 PM - 21 Mar 2019","/hamed_malk/status/1108841148737572866"
"1583618751-1874","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
#نائب_وزير_التعليم يفتتح لقاء الطفولة المبكرة ""الرؤية ومقومات النجاح""pic.twitter.com/Va2rxkOnHE","18","137","109","1553267258000","8:07 AM - 22 Mar 2019","/moe_gov_sa/status/1109109384876097537"
