web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583861089-6425","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Ben_Baaz","مدرسة الشيخ عبدالعزيز بن باز بالعلا","#يوم_في_مدرستي
ضمن فعاليات الأسبوع الوطني للموهبة والإبداع 2020 والمتزامن مع اليوم الخليجي للموهبة و الابداع تم عمل ورشة تفاعلية لنشر ثقافة الموهبة بين الطلاب 
وتعريفهم  بخصائص الموهوبين وسبل رعايتهم
@moe_gov_sa
@e3lam_alula
@eshraf110
@erulaer 
#الملف_الإعلامي_بوزارة_التعليمpic.twitter.com/scrhm3V3wL","","5","7","1583046061000","11:01 PM - 29 Feb 2020","/Ben_Baaz/status/1234010736558530563"
"1583861089-6550","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@Ab6thamir66","‏﮼ابوثامر  🇸🇦","لا نعرف لمصلحة من التطبيل ؟ يتابع نواتج التعلم ويترك مكان التعليم ؟","","","","1583023504000","4:45 PM - 29 Feb 2020","/Ab6thamir66/status/1233916129560735744"
"1583861089-6549","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@MS75294673","M.A.S. معلم مغترب","#العلاوه_السنويه249 
لائحة الظلم يجب ان تلغى
 @ETEC_SA @minister_moe_sa @moe_gov_sa @Mhrsd_sa @SaudiMCS @saudibogrv @law_b1 @nayef_almnsi @SABAssociation","","2","2","1583024591000","5:03 PM - 29 Feb 2020","/MS75294673/status/1233920688722980865"
"1583861089-6324","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@7n1nn","Hanan","I don’t get it.. what’s the relationship between the tweet and spending in education?!","","","","1583424240000","8:04 AM - 5 Mar 2020","/7n1nn/status/1235596935706353672"
"1583861089-6411","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@bWeHzxZ2IULKVpD","ث٢ مقررات بتيماء 2164","#السلامة اولا
بمناسبة اليوم العالمي للدفاع المدني ٢٠١٩م
تم تنفيذه من قبل المنسقة الدفاع المدني صيته سليمان إشراف قائدة المدرسة موضي حمود المفضي والمنسقة الاعلامية أ عواطف الفقيري فخالص الشكر للجهود المبذولة والابداع المتجدد....
@Edu_Tayma @moe_gov_sa @SaudiDCD @media_ksapic.twitter.com/lG3fOzgALw","1","2","1","1583166706000","8:31 AM - 2 Mar 2020","/bWeHzxZ2IULKVpD/status/1234516760486989824"
"1583861089-6452","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@g72545","ابتدائية آل دحمان  / #تنومة","#الملف_الإعلامي_بوزارة_التعليم
#تعليم_النماص 
تم عمل ركن لليوم العالمي للدفاع المدني اشتمل على ورش تلوين وضيافة ولوحات عرض وإذاعة صباحية 
تحت إشراف أ/عزيزة حسن 
@moe_gov_sa @namasedu @1436Mttn @jf_moe @Media_M_E @alamn_namaspic.twitter.com/UWJDb38wms","","2","4","1583043230000","10:13 PM - 29 Feb 2020","/g72545/status/1233998864253931520"
"1583861089-6381","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@a__m176","منّالل ✨","#اصوات_كليات_التربيه_تنادي

 سيدي محمد بن سلمان فزعتك لأخواتك انصفناا ياطويل العمر
الحصر والتوظيف المكاني لامجال لنا سوى التعليم
@HamadMAlSheikh 
@Badermasaker 
@minister_moe_sa 
@kbsalsaud 
@kbsalsaud 
@Khalid_M_AlSaud 
@moe_gov_sa 
@KingSalman 
@spokesp_moe 
@MAAljadaanpic.twitter.com/G3rAjlNE1B","","57","19","1583331961000","6:26 AM - 4 Mar 2020","/a__m176/status/1235209888562847745"
"1583861089-6350","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@oneoffdomains","JJ","Website for sale- http://investVision2030.com pic.twitter.com/DYBE9SSJRz","","","","1583171640000","9:54 AM - 2 Mar 2020","/oneoffdomains/status/1234537455480692748"
"1583861089-6338","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","أمير المدينة المنورة يدشن اللقاء العلمي المتماثل لقادة الموهوبين بالمملكة
https://www.moe.gov.sa/ar/news/Pages/md-q-2020-5w.aspx …pic.twitter.com/Ni2k6y41v9","8","293","194","1583247086000","","/moe_gov_sa/status/1234853900194402304"
"1583861089-6274","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@TAMIMI060","TAMIMI  🤝","Online","","","","1583614630000","12:57 PM - 7 Mar 2020","/TAMIMI060/status/1236395489425317891"
