web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583620629-3482","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@amushabab","عبدالرحمن مشبب","مقطع رائع ،،
جميل أن يساهم حارس المدرسة (بعفويته) الابوية في تهيئة الطلاب معنويا.. 
@moe_gov_sa
@riyadh_eduhttps://twitter.com/ibn_albaytar/status/1181793836802158592 …","1","25","13","1570601974000","11:19 PM - 8 Oct 2019","/amushabab/status/1181816455660277760"
"1583620629-3801","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@kingschool1427","مدرسة الملك عبدالله بالعلا","#همة_التعليم_قمة_للوطن
89 Of giving, 89 of love, 89 of safety
 Happy National day@e3lam_alula @moe_gov_sa @Media_M_Epic.twitter.com/MNsTBeWusH","","2","1","1569240175000","5:02 AM - 23 Sep 2019","/kingschool1427/status/1176104656017272832"
"1583620629-4084","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
إسناد تدريس صفوف #الطفولة_المبكرة للمعلمات يساهم في الاستقرار النفسي والتحصيل المعرفي للأطفال في سنوات تعليمهم الأولى.pic.twitter.com/NAFJrl79xd","436","607","627","1567967784000","11:36 AM - 8 Sep 2019","/moe_gov_sa/status/1170767859649302528"
"1583620629-3542","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزير_التعليم يعتمد إسناد تنفيذ 53 مشروعاً متعثراً إلى شركة تطوير للمباني
https://www.moe.gov.sa/ar/news/Pages/m-t-1441-32.aspx …pic.twitter.com/OS3gnoT1ML","68","726","470","1570371830000","7:23 AM - 6 Oct 2019","/moe_gov_sa/status/1180851159055179776"
"1583620629-3582","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@DSA_NBU","عمادة شؤون الطلاب","ما أشرقت في الكونِ أيّ حضارةٍ 
إلاّ وكانت من ضيـاءِ معلم

#اليوم_العالمي_للمعلم
#جامعة_الحدود_الشمالية 

@myshehri 
@mohe_sa 
@moe_gov_sa 
@Media_M_Epic.twitter.com/1ZC5WgE8VE","1","6","4","1570281737000","6:22 AM - 5 Oct 2019","/DSA_NBU/status/1180473284388966400"
"1583620629-3280","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@qunedu","تعليم القنفذة","قبل قليل|

مدير #تعليم_القنفذة يتوج الفرق الفائزة في المهرجان الرياضي الرابع للصغار حيث كان التتويج على النحو التالي|
 كرة القدم
 تعليم جدة
 تعليم رجال ألمع
 كرة السلة
 تعليم جدة
 تعليم جازان
@moe_gov_sa
#الملف_الإعلامي_بوزارة_التعليمpic.twitter.com/JeajuuwMVP","","12","16","1571826305000","3:25 AM - 23 Oct 2019","/qunedu/status/1186951672741974016"
"1583620629-4049","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@AhmedAllshehri","📊 أحمد الشهري | اقتصاد","أقترح أن يكون هناك مسح وطني سنوي نفسي وسلوكي على جميع المدارس عن طريق طرف ثالث متخصص في المسح السلوكي؛ لكشف السلوك بين الطلاب وكشف الممارسات المنتشرة، هذا سوف يساعدنا كثيرا لاصدار خريطةوطنية تساعد في وضع العلاج والحلول بشكل استباقي.
@ShuraCouncil_SA 
@SaudiVision2030 
@moe_gov_sa","8","19","15","1568100601000","12:30 AM - 10 Sep 2019","/AhmedAllshehri/status/1171324934162976768"
"1583620629-3791","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#همة_حتى_القمة 
 #همة_التعليم_قمة_للوطن 
( هكذا يرى وطنه ) مدير إدارة الإعلام والاتصال #تعليم_الشرقية 
@moe_gov_sa
@Media_M_Epic.twitter.com/93SOGvEJio","4","31","23","1569264557000","11:49 AM - 23 Sep 2019","/edueast_sa/status/1176206922493681667"
"1583620629-3916","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@seeeee05244632","تجمع كليات التربيه","#الفزعه_لتوصيه_كليات_التربيه
لا تعتقد أن كفينِ رفعتهما ستردانِ لك خائبتين !
الله يسمع صوتك ؛ يعلم مافي قلبك ،
ويقدر على إجابة دُعائك ..
@KingSalman
 
@Badermasaker
 
@kbsalsaud
 
@Turki_alalshikh
 
@moe_gov_sa
 
@SaudiMCS
 
@minister_moe_sa","","119","33","1568649621000","9:00 AM - 16 Sep 2019","/seeeee05244632/status/1173627692635348993"
"1583620629-3984","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#تعليم_الشرقية 
#الطفولة_المبكرة 
طالباتنا الصغيرات وهن يرتّلن آيات القرآن الكريم، متطلعات لمستقبل مشرق .
@moe_gov_sa
@Media_M_Epic.twitter.com/KZwDS6OkqI","37","147","156","1568356709000","11:38 PM - 12 Sep 2019","/edueast_sa/status/1172399129735024651"
